angDist,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,rmag,USNO-B1.0,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Bmag1,Rmag1,Bmag2,Rmag2,Imag,Epoch,pmRA,pmDE,e_pmRA,e_pmDE,Flags,B1s/g,R1s/g,B2s/g,R2s/g,Is/g
0.056063,212.9317917,26.8275194,14 11 43.63,+26 49 39.07,18.1,1168-00245801,212.931809,+26.827517,1.019,1.019,90,20.82,18.10,,19.35,,1964.2,222,-250,73,72,...,2,10,,3,
0.167906,212.9885833,12.5638306,14 11 57.26,+12 33 49.79,18.66,1025-00274182,212.988631,+12.563828,1.019,0.693,0,,18.66,,17.26,,1974.3,0,0,0,0,...,,8,,2,
0.051059,215.7102083,44.3590389,14 22 50.45,+44 21 32.54,18.9,1343-00269430,215.710228,+44.359037,0.443,0.308,0,19.96,18.90,,19.44,,1965.8,-208,-184,5,9,...,2,1,,3,
0.152897,216.3462917,32.8987083,14 25 23.11,+32 53 55.35,19.23,1228-00294957,216.346342,+32.898712,1.019,1.019,90,,19.23,,18.70,,1971.3,0,0,0,0,...,,7,,1,
0.086442,221.5037917,32.2126194,14 46 00.91,+32 12 45.43,19.39,1222-00305081,221.503820,+32.212617,1.019,0.951,0,,19.39,,17.94,,1974.9,0,0,0,0,...,,6,,1,
0.096845,222.4482083,62.5784611,14 49 47.57,+62 34 42.46,19.47,1525-00257216,222.448150,+62.578462,1.019,0.301,90,,19.47,,19.25,,1975.6,0,0,0,0,...,,7,,4,
0.103650,226.116375,62.3900611,15 04 27.93,+62 23 24.22,18.11,1523-00271731,226.116437,+62.390059,1.019,0.212,0,,18.11,,18.74,,1973.9,0,0,0,0,...,,1,,7,
0.051483,228.031,51.1100194,15 12 07.44,+51 06 36.07,18.83,1411-00249570,228.030978,+51.110023,1.019,1.019,90,,18.83,,18.44,,1972.8,0,0,0,0,...,,7,,9,
1.534772,228.031,51.1100194,15 12 07.44,+51 06 36.07,18.83,1411-00249571,228.031089,+51.110442,1.019,1.019,90,,19.22,,19.53,,1972.8,0,0,0,0,...,,7,,3,
0.134333,230.629,24.6683306,15 22 30.96,+24 40 05.99,17.62,1146-00226194,230.628959,+24.668331,1.019,1.019,90,21.38,17.62,,19.08,,1962.6,212,674,46,121,...,4,3,,8,
0.045108,232.422625,22.9717194,15 29 41.43,+22 58 18.19,16.18,1129-00279272,232.422612,+22.971723,1.019,1.019,90,,16.18,,16.93,,1973.4,0,0,0,0,...,,1,,2,
0.065836,234.631,43.0347111,15 38 31.44,+43 02 04.96,17.57,1330-00312032,234.630975,+43.034712,1.019,1.019,90,,17.57,,19.31,,1974.2,0,0,0,0,...,,8,,8,
0.072651,235.2699167,9.0151389,15 41 04.78,+09 00 54.50,16.49,0990-00256119,235.269937,+9.015137,1.019,1.019,90,,16.49,,19.43,,1969.8,0,0,0,0,...,,4,,8,
0.064441,237.2295,62.41455,15 48 55.08,+62 24 52.38,19.25,1524-00268204,237.229462,+62.414553,1.019,0.733,90,,19.25,,18.40,,1974.4,0,0,0,0,...,,9,,4,
0.028061,242.4382917,38.5801889,16 09 45.19,+38 34 48.68,18.85,1285-00259040,242.438298,+38.580195,1.019,1.019,90,20.49,18.85,,18.60,,1963.9,0,0,0,0,...,8,7,,8,
0.020017,242.505,61.5197917,16 10 01.20,+61 31 11.25,17.79,1515-00220866,242.505006,+61.519787,1.019,1.019,90,,17.79,,19.40,,1974.4,0,0,0,0,...,,8,,2,
0.082194,246.0012917,61.3500722,16 24 00.31,+61 21 00.26,18.21,1513-00221489,246.001339,+61.350075,1.019,0.943,0,,18.21,,19.01,,1975.5,0,0,0,0,...,,2,,9,
3.992392,246.0012917,61.3500722,16 24 00.31,+61 21 00.26,18.21,1513-00221492,246.003492,+61.350414,1.019,0.675,90,,18.19,,,18.36,1975.9,0,0,0,0,...,,9,,,
0.097657,248.6082917,34.0734583,16 34 25.99,+34 04 24.45,17.4,1240-00243592,248.608259,+34.073459,1.019,1.019,90,,17.40,,19.49,,1973.9,0,0,0,0,...,,8,,2,
0.087203,260.1452083,44.00315,17 20 34.85,+44 00 11.34,19.49,1340-00289064,260.145242,+44.003150,1.019,1.019,90,,19.49,,19.28,,1972.9,0,0,0,0,...,,6,,4,
0.066150,261.4359167,73.9027111,17 25 44.62,+73 54 09.76,19.39,1639-00099553,261.435853,+73.902706,1.019,0.327,90,,19.39,,15.30,,1973.5,0,0,0,0,...,,2,,9,
3.311957,261.4359167,73.9027111,17 25 44.62,+73 54 09.76,19.39,1639-00099554,261.438948,+73.902337,0.599,0.312,90,,18.98,,13.87,,1973.5,0,0,0,0,...,,4,,2,
0.138813,277.7421667,40.9000389,18 30 58.12,+40 54 00.14,18.55,1309-00305148,277.742217,+40.900045,0.295,0.213,90,20.62,18.55,20.46,19.37,18.63,1977.8,0,0,0,0,...,7,9,4,8,
0.012067,283.3742083,77.9168167,18 53 29.81,+77 55 00.54,17.23,1679-00098454,283.374209,+77.916820,1.019,1.019,90,,17.23,,19.40,,1973.5,0,0,0,0,...,,3,,1,
